epoch,train_loss,valid_loss,fbeta
1,0.133401,0.117462,0.623782
2,0.129026,0.113511,0.633944
3,0.128910,0.114448,0.635397
4,0.128598,0.114484,0.621990
5,0.122721,0.116775,0.631092
6,0.123561,0.112130,0.650389
7,0.123318,0.109590,0.654034
8,0.120176,0.113072,0.637584
9,0.113204,0.101427,0.676807
10,0.114139,0.101591,0.674483
11,0.107959,0.098637,0.691218
12,0.105165,0.099808,0.692240
13,0.107816,0.092968,0.705986
14,0.100612,0.092288,0.708354
15,0.099347,0.088419,0.721729
16,0.092789,0.086477,0.727970
17,0.089310,0.083654,0.731280
18,0.088804,0.081417,0.738570
19,0.083439,0.080561,0.742072
20,0.081782,0.077829,0.751469
21,0.079497,0.075446,0.754153
22,0.073181,0.073665,0.762166
23,0.072383,0.073446,0.768980
24,0.068003,0.072894,0.768213
25,0.067437,0.072430,0.772607
26,0.065436,0.071321,0.778644
27,0.064562,0.070555,0.777040
28,0.061654,0.071083,0.780236
29,0.061419,0.070106,0.775467
30,0.062819,0.071382,0.775903
