epoch,train_loss,valid_loss,fbeta
1,0.119966,0.106160,0.667151
2,0.114700,0.102825,0.678429
3,0.117502,0.099760,0.691029
4,0.108109,0.097212,0.696169
5,0.110029,0.094531,0.704004
6,0.106702,0.093233,0.704820
7,0.101608,0.094404,0.697456
8,0.100590,0.088469,0.722884
9,0.100077,0.087475,0.714818
10,0.090705,0.084297,0.731012
11,0.089305,0.082250,0.745606
12,0.087680,0.080711,0.747182
13,0.085755,0.077313,0.758506
14,0.079965,0.078138,0.753526
15,0.077815,0.075555,0.762637
16,0.077475,0.073102,0.769392
17,0.076705,0.072358,0.777689
18,0.072480,0.070155,0.781804
19,0.067643,0.070683,0.788061
20,0.066694,0.067613,0.786460
21,0.060550,0.065748,0.791759
22,0.062529,0.066917,0.792127
23,0.054969,0.064828,0.797357
24,0.052709,0.065242,0.800424
25,0.053012,0.064591,0.801516
26,0.050871,0.064710,0.800712
27,0.048027,0.064110,0.803028
28,0.047384,0.064503,0.803852
29,0.047810,0.064443,0.805842
30,0.045638,0.064189,0.805104
