epoch,train_loss,valid_loss,fbeta
1,0.095358,0.088878,0.696071
2,0.096248,0.088240,0.695113
3,0.095471,0.089492,0.695346
4,0.093118,0.090198,0.689245
5,0.095605,0.092751,0.683212
6,0.089992,0.093655,0.682139
7,0.092686,0.087160,0.711308
8,0.092208,0.090706,0.693951
9,0.087037,0.082633,0.726976
10,0.087879,0.083991,0.714004
11,0.082549,0.080437,0.728236
12,0.080653,0.081426,0.729247
13,0.077665,0.077144,0.735554
14,0.076629,0.079739,0.724142
15,0.072401,0.078209,0.739532
16,0.071557,0.074247,0.756014
17,0.068246,0.070569,0.759568
18,0.069527,0.070444,0.763396
19,0.066448,0.069127,0.765434
20,0.063139,0.067287,0.770232
21,0.057882,0.066229,0.777426
22,0.055436,0.064779,0.782439
23,0.052984,0.063699,0.790531
24,0.050214,0.063487,0.792827
25,0.049011,0.062340,0.791984
26,0.048641,0.061991,0.798169
27,0.045644,0.061878,0.796284
28,0.045461,0.061958,0.796942
29,0.044327,0.062113,0.802558
30,0.043568,0.061652,0.798480
