epoch,train_loss,valid_loss,fbeta
1,0.095070,0.088987,0.693136
2,0.093544,0.088663,0.698090
3,0.093261,0.086834,0.700237
4,0.093328,0.085820,0.705614
5,0.089233,0.085129,0.702758
6,0.088357,0.086420,0.700074
7,0.087245,0.083239,0.720168
8,0.084827,0.082084,0.717311
9,0.079682,0.080147,0.720756
10,0.076279,0.077546,0.733328
11,0.076778,0.075552,0.743300
12,0.073911,0.073962,0.749114
13,0.074200,0.073284,0.751136
14,0.067710,0.072863,0.761185
15,0.067153,0.071404,0.767089
16,0.065153,0.069505,0.767906
17,0.059365,0.069587,0.769346
18,0.058168,0.069985,0.776817
19,0.054298,0.069180,0.778679
20,0.051582,0.068550,0.779344
21,0.052078,0.068949,0.783745
22,0.048996,0.068826,0.781085
23,0.046145,0.068875,0.786752
24,0.046157,0.068787,0.784278
25,0.045230,0.068713,0.787607
