epoch,train_loss,valid_loss,fbeta
1,0.115192,0.106389,0.666008
2,0.110484,0.104212,0.673445
3,0.111541,0.102964,0.674971
4,0.108606,0.101172,0.683991
5,0.108423,0.099848,0.686737
6,0.104958,0.097750,0.699431
7,0.100446,0.096229,0.699130
8,0.099714,0.098333,0.693360
9,0.097292,0.092634,0.707846
10,0.094352,0.095649,0.699083
11,0.088992,0.089735,0.726582
12,0.086053,0.087837,0.729224
13,0.084513,0.087718,0.736496
14,0.079468,0.084011,0.736905
15,0.080473,0.080328,0.753463
16,0.076356,0.079436,0.752065
17,0.072743,0.076984,0.762047
18,0.068256,0.074896,0.768381
19,0.063379,0.073895,0.771064
20,0.062608,0.075694,0.770401
21,0.057170,0.072735,0.779646
22,0.052579,0.073002,0.783948
23,0.049470,0.071065,0.790848
24,0.047753,0.071412,0.792087
25,0.044974,0.071625,0.795616
26,0.044885,0.071869,0.793957
27,0.041860,0.070893,0.798749
28,0.038760,0.070478,0.798210
29,0.038604,0.071022,0.798184
30,0.038437,0.071436,0.798593
