epoch,train_loss,valid_loss,fbeta
1,0.115026,0.111195,0.660916
2,0.112601,0.109109,0.670414
3,0.106523,0.106688,0.676609
4,0.105606,0.108952,0.677992
5,0.102620,0.099084,0.689787
6,0.103198,0.098447,0.706526
7,0.097601,0.111547,0.686501
8,0.095908,0.110810,0.695921
9,0.090228,0.100886,0.729418
10,0.089496,0.148075,0.720887
11,0.085639,0.142343,0.730689
12,0.083679,0.089408,0.743449
13,0.079430,0.091475,0.747391
14,0.077163,0.077680,0.754867
15,0.069982,0.074742,0.770503
16,0.071346,0.074156,0.770742
17,0.066509,0.072950,0.781399
18,0.065947,0.070041,0.782193
19,0.060543,0.082425,0.779442
20,0.056154,0.069797,0.794088
21,0.053375,0.065783,0.798474
22,0.050054,0.066383,0.799691
23,0.046958,0.069300,0.804040
24,0.043469,0.064199,0.806325
25,0.041659,0.065296,0.810394
26,0.037412,0.064557,0.812183
27,0.038614,0.071223,0.808677
28,0.035445,0.066693,0.810886
29,0.035972,0.066004,0.815337
30,0.034168,0.068194,0.812765
