epoch,train_loss,valid_loss,fbeta
1,0.099371,0.093217,0.694179
2,0.098444,0.091947,0.697349
3,0.095842,0.089852,0.704332
4,0.094396,0.087886,0.701458
5,0.094404,0.089545,0.702360
6,0.094595,0.087007,0.716736
7,0.091364,0.088246,0.709604
8,0.085484,0.083681,0.731753
9,0.087056,0.079685,0.741086
10,0.080467,0.079254,0.736732
11,0.078014,0.074549,0.757542
12,0.074228,0.073418,0.760749
13,0.071382,0.072025,0.759480
14,0.069011,0.069091,0.768329
15,0.068033,0.070839,0.771828
16,0.061367,0.065759,0.781558
17,0.058779,0.065208,0.791736
18,0.054813,0.062156,0.804094
19,0.053101,0.062591,0.802267
20,0.049718,0.061117,0.810600
21,0.047576,0.061059,0.810901
22,0.044852,0.059539,0.810582
23,0.042267,0.060142,0.818379
24,0.039217,0.060147,0.820020
25,0.037244,0.059747,0.820542
26,0.035003,0.060757,0.822445
27,0.034256,0.060806,0.826813
28,0.031430,0.060198,0.823321
