epoch,train_loss,valid_loss,fbeta
1,0.093231,0.086915,0.707903
2,0.095540,0.088446,0.701277
3,0.095112,0.091653,0.678039
4,0.094858,0.091500,0.692153
5,0.096430,0.091617,0.685599
6,0.094079,0.087826,0.697508
7,0.089805,0.085472,0.720535
8,0.088490,0.083208,0.723894
9,0.087470,0.083706,0.719195
10,0.084890,0.095378,0.700446
11,0.081349,0.081736,0.735271
12,0.081115,0.077069,0.736658
13,0.077960,0.074999,0.749311
14,0.076551,0.073508,0.751475
15,0.071992,0.076727,0.752882
16,0.071756,0.072655,0.751386
17,0.067271,0.071620,0.770279
18,0.066946,0.069084,0.769142
19,0.062210,0.068140,0.771797
20,0.061385,0.068190,0.779219
21,0.059992,0.066728,0.775739
22,0.057804,0.066614,0.780115
23,0.055336,0.066273,0.780113
24,0.053781,0.066568,0.784291
25,0.055027,0.066392,0.783166
