epoch,train_loss,valid_loss,fbeta
1,0.149067,0.128650,0.584555
2,0.146876,0.127427,0.592625
3,0.144728,0.121055,0.619068
4,0.140100,0.117124,0.634105
5,0.136660,0.114893,0.648785
6,0.133165,0.111103,0.659625
7,0.126081,0.108471,0.679538
8,0.122390,0.107679,0.686178
9,0.123576,0.104934,0.696538
10,0.117029,0.102890,0.694121
11,0.124957,0.102054,0.708565
12,0.114507,0.099778,0.713108
13,0.124386,0.099476,0.716411
14,0.112252,0.095094,0.715558
15,0.109523,0.096407,0.722446
16,0.103590,0.096398,0.724126
17,0.108956,0.100553,0.725431
18,0.106738,0.089667,0.736358
19,0.102664,0.089446,0.744500
20,0.103897,0.088101,0.744959
21,0.099161,0.088859,0.750737
22,0.095664,0.086951,0.753217
23,0.108318,0.086913,0.754696
24,0.100219,0.085401,0.756444
25,0.094257,0.084234,0.753077
26,0.089814,0.083921,0.755925
27,0.102087,0.084253,0.761831
28,0.089823,0.083837,0.762568
29,0.096083,0.082949,0.759535
30,0.093083,0.082335,0.760414
