epoch,train_loss,valid_loss,fbeta
1,0.110958,0.102159,0.673825
2,0.108154,0.099979,0.682568
3,0.106623,0.098203,0.685797
4,0.101473,0.097170,0.687418
5,0.101293,0.096692,0.692350
6,0.102924,0.097042,0.692063
7,0.098846,0.092971,0.702995
8,0.098231,0.092958,0.693649
9,0.093533,0.088839,0.721341
10,0.087993,0.085032,0.726157
11,0.086799,0.084362,0.730455
12,0.082736,0.082548,0.741059
13,0.079537,0.079450,0.747629
14,0.077864,0.080113,0.751214
15,0.075965,0.077017,0.759787
16,0.070926,0.074080,0.763291
17,0.068302,0.074397,0.767434
18,0.061637,0.072582,0.778016
19,0.060832,0.070575,0.780538
20,0.056310,0.068865,0.787589
21,0.053209,0.069522,0.787967
22,0.050313,0.068791,0.795987
23,0.046027,0.066902,0.798768
24,0.043666,0.067999,0.800184
25,0.039460,0.068074,0.801434
26,0.039283,0.067964,0.806235
27,0.035415,0.067078,0.805247
28,0.035921,0.068698,0.807236
29,0.036091,0.068091,0.809346
