epoch,train_loss,valid_loss,fbeta
1,0.107046,0.098475,0.674607
2,0.102083,0.097119,0.678636
3,0.098182,0.094911,0.689394
4,0.097833,0.093453,0.690690
5,0.096415,0.096053,0.693428
6,0.093849,0.087603,0.712809
7,0.090938,0.087076,0.704506
8,0.086319,0.083565,0.725662
9,0.087276,0.085772,0.714957
10,0.082149,0.079831,0.729977
11,0.080652,0.078321,0.745179
12,0.078263,0.073198,0.761857
13,0.076422,0.073704,0.760687
14,0.073829,0.077071,0.742793
15,0.071409,0.108428,0.765743
16,0.066973,0.068401,0.772575
17,0.064506,0.067866,0.780703
18,0.062774,0.067256,0.780086
19,0.058045,0.069106,0.791290
20,0.056582,0.062736,0.795791
21,0.052793,0.061891,0.799176
22,0.053049,0.059570,0.804105
23,0.048189,0.059791,0.806903
24,0.044314,0.058107,0.811132
25,0.042938,0.058423,0.815902
26,0.043358,0.058541,0.815258
27,0.040089,0.058564,0.817546
28,0.038067,0.058224,0.818510
29,0.037568,0.058018,0.819458
30,0.039871,0.058655,0.816573
