epoch,train_loss,valid_loss,fbeta
1,0.092832,0.090688,0.694927
2,0.094379,0.089619,0.697671
3,0.092075,0.089048,0.694251
4,0.091232,0.092919,0.706514
5,0.088320,0.095045,0.705763
6,0.087999,0.087893,0.703891
7,0.085948,0.086501,0.711963
8,0.085917,0.081862,0.718500
9,0.080624,0.084573,0.718964
10,0.079107,0.078483,0.736548
11,0.075772,0.081335,0.739872
12,0.073016,0.077471,0.743243
13,0.074761,0.076973,0.739641
14,0.069490,0.073883,0.755957
15,0.066197,0.072209,0.758530
16,0.064126,0.072805,0.766374
17,0.059442,0.070719,0.770504
18,0.057827,0.070579,0.772444
19,0.054982,0.070090,0.777007
20,0.052150,0.069293,0.779035
21,0.049021,0.069280,0.782562
22,0.046563,0.069709,0.781186
23,0.046331,0.069255,0.782503
24,0.045754,0.069435,0.785197
25,0.045939,0.069570,0.784430
